LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
24,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4261722401 initialized by client WindowsUpdateAgent.,1,Session: <*> initialized by client <*>
25,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4262462443 initialized by client WindowsUpdateAgent.,1,Session: <*> initialized by client <*>
26,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
27,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
28,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
29,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
30,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
31,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
32,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
33,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
34,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
35,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
36,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
37,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
38,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
39,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
40,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
41,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
42,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
43,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
44,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
45,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
46,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
47,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
48,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
49,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
50,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
51,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
52,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
53,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
54,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
55,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
56,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
57,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
58,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
59,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
60,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
61,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
62,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
63,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
64,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
65,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
66,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
67,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
68,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
69,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
70,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
71,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
72,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
73,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
74,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
75,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
76,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
77,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
78,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
79,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
80,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
81,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
82,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
83,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
84,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
85,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
86,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
87,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
88,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
89,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
90,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
91,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
92,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
93,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
94,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
95,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
96,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
97,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
98,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
99,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
100,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
101,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
102,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
103,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
104,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
105,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
106,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
107,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
108,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
109,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
110,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
111,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
112,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
113,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
114,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
115,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
116,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
117,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
118,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
119,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
120,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
121,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
122,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
123,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
124,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
125,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
126,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
127,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
128,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
129,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
130,2016-09-28,04:30:32,Info,CBS,Session: 30546173_4267072707 initialized by client WindowsUpdateAgent.,1,Session: <*> initialized by client <*>
131,2016-09-28,04:30:32,Info,CBS,Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE],8,Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE]
132,2016-09-28,04:30:32,Info,CBS,Session: 30546173_4268042763 initialized by client WindowsUpdateAgent.,1,Session: <*> initialized by client <*>
133,2016-09-28,04:30:32,Info,CBS,Session: 30546173_4271022933 initialized by client WindowsUpdateAgent.,1,Session: <*> initialized by client <*>
134,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
135,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
136,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
137,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
138,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
139,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
140,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
141,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
142,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
143,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
144,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
145,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
146,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
147,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
148,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
149,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
150,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
151,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
152,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
153,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
154,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
155,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
156,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
157,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
158,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],5,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
159,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
160,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,2,Warning: Unrecognized <*> attribute.
161,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],4,Expecting attribute name [<*> - <*>].
