LineId,Date,Time,Level,Component,Content,EventTemplate,EventId
36,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
37,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
38,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
39,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
40,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
41,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
42,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
43,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
44,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
45,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
46,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
47,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
48,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
49,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
50,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
51,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
52,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
53,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
54,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
55,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
56,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
57,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
58,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
59,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
60,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
61,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
62,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
63,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
64,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
65,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
66,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
67,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
68,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
69,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
70,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
71,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
72,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
73,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
74,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
75,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
76,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
77,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
78,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
79,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
80,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
81,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
82,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
83,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
84,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
85,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
86,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
87,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
88,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
89,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
90,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
91,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
92,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
93,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
94,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
95,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
96,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
97,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
98,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
99,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
100,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
101,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
102,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
103,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
104,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
105,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
106,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
107,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
108,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
109,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
110,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
111,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
112,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
113,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
114,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
115,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
116,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
117,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
118,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
119,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
120,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
121,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
122,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
123,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
124,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
125,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
126,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
127,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
128,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
129,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
130,2016-09-28,04:30:32,Info,CBS,Session: 30546173_4267072707 initialized by client WindowsUpdateAgent.,Session: <*> initialized by client <*>,39
131,2016-09-28,04:30:32,Info,CBS,Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE],Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE],38
132,2016-09-28,04:30:32,Info,CBS,Session: 30546173_4268042763 initialized by client WindowsUpdateAgent.,Session: <*> initialized by client <*>,39
133,2016-09-28,04:30:32,Info,CBS,Session: 30546173_4271022933 initialized by client WindowsUpdateAgent.,Session: <*> initialized by client <*>,39
134,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
135,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
136,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
137,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
138,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
139,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
140,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
141,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
142,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
143,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
144,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
145,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
146,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
147,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
148,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
149,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
150,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
151,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
152,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
153,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
154,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
155,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
156,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
157,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
158,2016-09-28,04:30:32,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],8
159,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
160,2016-09-28,04:30:32,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized <*> attribute.,7
161,2016-09-28,04:30:32,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [<*> - <*>].,52
