EventTemplate,Occurrences
"clients4.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",4
www.google.com:<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,4
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",3
c.baidu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,3
"www.baidu.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",3
comment.<*>.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,3
"b1.bdstatic.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",3
client-lb.dropbox.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,3
apis.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,3
"www.evernote.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",3
"clients4.google.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",3
ss.bdimg.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,3
"close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>",3
s1.bdstatic.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,3
"mtalk.google.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",3
"www.googleapis.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>",3
block-edge.dropbox.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,3
avatars.githubusercontent.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,3
bolt.dropbox.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,3
"d.dropbox.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",3
security.ie.sogou.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,3
s.youtube.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,3
"clients4.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",3
ss.bdimg.com:<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,3
dc.csdn.net:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,3
mail.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,3
"www.gstatic.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",3
safebrowsing.googleapis.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,3
"qd-update.qq.com:<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",3
"client-cf.dropbox.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",3
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*> sec",2
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>.</s>",2
"<*>.tencent.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec",2
"close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <1 sec",2
timg.baidu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"get.sogou.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",2
"pos.baidu.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",2
"dup.baidustatic.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",2
d.agkn.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"d.dropbox.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",2
"clients6.google.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>",2
static.doubleclick.net:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"suggestion.baidu.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",2
news.<*>.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
app. <*> open through proxy proxy. <*> HTTPS,2
video.<*>.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
www.<*>.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"cpro.baidustatic.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",2
"notifications.google.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",2
"client-cf.dropbox.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",2
people-pa.clients6.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"www.google.com.hk:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",2
lh3.googleusercontent.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
d3cv4a9a9wh0bt.cloudfront.net:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"s1.bdstatic.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",2
"www.baidu.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",2
"clients6.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",2
clients2.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"client-lb.dropbox.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",2
bdimg.share.baidu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
config.pinyin.sogou.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
www.gstatic.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"www.google-analytics.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",2
www.google-analytics.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
client-channel.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"pubads.g.doubleclick.net:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",2
user-images.githubusercontent.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"csi.gstatic.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",2
tvax1.sinaimg.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
strip.alicdn.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
rm.api.weibo.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"collector.githubapp.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",2
live.github.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"people-pa.clients6.google.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",2
"ssl.gstatic.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",2
"www.googleapis.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",2
yt3.ggpht.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
secure.quantserve.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
c.trello.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"mtalk.google.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",2
"csdnimg.cn:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",2
"engine.adzerk.net:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",2
"googleads.g.doubleclick.net:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",2
"ping.pinyin.sogou.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",2
btrace.qq.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"pubads.g.doubleclick.net:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",2
"local-p2p.qq.com:<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",2
"security.ie.sogou.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",2
"close, <*> bytes sent, <*> bytes received, lifetime <1 sec",2
"pagead2.googlesyndication.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",2
tpc.googlesyndication.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
avatars0.githubusercontent.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"play.google.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>",2
clientservices.googleapis.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"bolt.dropbox.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",2
"tc.dl.pinyin.sogoucdn.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <1 sec",2
mini.cpc.sogou.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
xueshu.baidu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
pic01.ishuhui.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> MB) received, lifetime <*>.</s>",1
"tcpconn.tencent.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",1
<*> error : A connection request was canceled before the completion.,1
tcpconn4.tencent.com:<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,1
tcpconn.tencent.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"TcpConn <*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",1
"<*>.tencent.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",1
tcpconn3.tencent.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
<*>.tencent.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
<*> through proxy <*>,1
"cgi.qqweb.qq.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",1
CGI <*> through proxy <*> HTTPS,1
"showxml.qq.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <1 sec",1
"impservice.dictapp.youdao.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"formi.baidu.com:<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",1
oimagec7.ydstatic.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,1
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> MB) received, lifetime <*>",1
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <1 sec",1
"oimageb7.ydstatic.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
oimagea5.ydstatic.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"oimageb6.ydstatic.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
oimagec4.ydstatic.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"oimagea7.ydstatic.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"oimagec3.ydstatic.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"sestat.baidu.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
www.<*>.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
cbjs.baidu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"newsimg.<*>.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"comment.<*>.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"m.news.<*>.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"www.<*>.cn:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
api.share.baidu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"timg.baidu.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
"www.googletagservices.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",1
"yt3.ggpht.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>.</s>",1
pubads.g.doubleclick.net:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
ecmb.bdimg.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*> sec",1
"timg.baidu.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"eclick.baidu.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",1
a.img4399.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
w.cnzz.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"www.<*>.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"cnzz.mmstat.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",1
"app.<*>.cn:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
"www.youtube.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",1
"www.qulishi.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
"q7.cnzz.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"w.cnzz.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"get.sogou.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"clientservices.googleapis.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",1
"ocsp.digicert.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
mail-attachment.googleusercontent.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"static.adobelogin.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
block <*> for block <*> terminating,1
impservice.dictapp.youdao.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"capi.grammarly.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",1
ogs.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"client-channel.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",1
xin.<*>.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
newsapp <*> com:<*> open through proxy <*> proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"bdimg.share.baidu.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"s1.img4399.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
ss0.baidu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
hpd.baidu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"sclick.baidu.com:<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>.</s>",1
img.<*>.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
assets.changyan.sohu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
s.<*>.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"www.baidu.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",1
"upload.<*>.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
"res.wx.qq.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
"update.googleapis.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <1 sec",1
"long.open.weixin.qq.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
"www.google.com.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",1
"ping.pinyin.sogou.com:<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>.</s>",1
"api.github.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"notifications.google.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"live.github.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",1
"www.google.com.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",1
www.gmail.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"www.gmail.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
github-windows.s3.amazonaws.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
www.zhihu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
pic4.zhimg.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"content.googleapis.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",1
"clients1.google.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"clients6.google.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",1
"ClientChannel <*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <1 sec",1
js.t.sinajs.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
dslb.cdn.krcom.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
wx3.sinaimg.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
wx1.sinaimg.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
tva1.sinaimg.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
mu1.sinaimg.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
s.weibo.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
d0.sina.com.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
api.weibo.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"www.zhihu.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
"d0.sina.com.cn:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <1 sec",1
"contentrecommend-out.uve.weibo.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
show.re.taobao.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"rs.sinajs.cn:<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>.</s>",1
gtms03.alicdn.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"news.sina.com.cn:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"strip.alicdn.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"dslb.cdn.krcom.cn:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"strip.alicdn.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
