EventTemplate,Occurrences
"Recalculating schedule, headroom=<*>",1
"Recalculating schedule, headroom=<memory:<*>, vCores:-22>",1
"Recalculating schedule, headroom=<memory:<*>, vCores:-23>",1
"Recalculating schedule, headroom=<memory:<*>, vCores:-24>",1
"Container <*> for map as either <memory:<*>, vCores:1> or no pending map tasks - maps.isEmpty=<*>",1
Container complete event for unknown container id <*>,1
Done acknowledgement from <*> terminating,1
TaskAttempt Transitioned from <*> to SUCCESS_CONTAINER_CLEANUP,1
TaskAttempt Transitioned from <*> to SUCCEEDED,1
Task succeeded with attempt <*> terminating,1
Task Transitioned from <*> to SUCCEEDED,1
Num completed Tasks: <*>,1
Reduce slow start threshold reached. Scheduling <*>,1
All maps assigned. Ramping up all remaining reduces: <*>,1
DefaultSpeculator.addSpeculativeAttempt -- we are speculating <*>,1
Sleeping <*> milliseconds,1
Scheduling a redundant attempt for task <*> terminating,1
Container killed by the ApplicationMaster.,1
"Slow ReadProcessor read fields took <*> (threshold=<*>); ack: seqno: <*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*>, targets: [<*>]",1
DFSOutputStream ResponseProcessor exception for block <*> terminating,1
Error Recovery for block <*> terminating,1
DataStreamer Exception,1
Error writing History Event: <*>@<*>,1
Thread <*> threw an Exception.,1
