EventTemplate,Occurrences
"Putting shuffle token in serviceData <*>, at <*>, mask <*>",1
"Launching <*>, at <*>,",1
"<*>, transitioned from SCHEDULED to RUNNING",1
"getResources() for <*>, ask=<*>, release=<*>, newContainers=<*>, finishedContainers=<*>, resourcelimit=<memory:<*>, vCores:-20>, knownNMs=<*>",1
"TaskAttempt: <*>, using containerId: <*> on NM: <*>",1
"Got allocated containers <*>, at <*>,",1
"Cannot assign container Container: <*>, Node:",1
"Container complete event for <*>, at <*>, mask <*>",1
"Done acknowledgement from <*>, at <*>, mask <*>",1
"<*>, at <*>, Transitioned from RUNNING to SUCCESS_CONTAINER_CLEANUP",1
"<*>, at <*>, transitioned from SUCCESS_CONTAINER_CLEANUP to SUCCEEDED",1
"Task succeeded with attempt <*>, at <*>, mask <*>",1
<*> Transitioned from RUNNING to SUCCEEDED,1
Num completed Tasks: <*>,1
Reduce slow start threshold reached. Scheduling reduces. <*>,1
"All maps assigned <*>, ramping up all remaining reduces:<*>",1
After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,1
"DefaultSpeculator.addSpeculativeAttempt -- we are speculating <*>, at <*>, mask <*>",1
We launched <*> speculations. Sleeping <*> milliseconds.,1
"Scheduling a redundant attempt for task <*>, at <*>,",1
"Diagnostics report from <*>, killed by ApplicationMaster.",1
"Slow ReadProcessor read fields took <*> (threshold=<*>); ack: seqno: <*>, status: SUCCESS status: ERROR downstreamAckTimeNanos: <*>, targets: [<placeholder for <*>] ...",1
DFSOutputStream ResponseProcessor exception for block <BP-<*>-<*>,1
"Error Recovery for block <*>, in pipeline <*>, from <*>, bad datanode <*>",1
Exception <END]</s>,1
"<*>, TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP",1
<*> TaskAttempt Transitioned from NEW to UNASSIGNED,1
Error writing History Event: TaskAttemptUnsuccessfulCompletionEvent@<*>,1
"Thread <Thread[eventHandlingThread,<*>,main]> threw an Exception.",1
"<*> failures on node <*>, at <*>,",1
"<*>, at <*>, transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP",1
"<*> failures on <*>,",1
