EventTemplate,Occurrences
Registering secondary module capability,1
i8042 AUX port at <*> irq <*>,1
KBD port at <*> irq <*>,1
syslog-ng <*> startup succeeded,1
syslog-ng <*> version <*> starting,1
Detected <*> MHz processor,1
Using <*> MHz HPET timer.,1
Using HPET based timekeeping.,1
Creating Topspin <*> entries: <*>,1
probe of <*> failed with error -<*>,1
Mounting <*> filesystems: succeeded,1
Mounting other filesystems: <*> failed,1
Warning: we failed to resolve data source name <*>,1
RRD_update <*> for block <*> illegal attempt to update using time <*> when last update time is <*> (minimum one second step),1
Warning: we failed to resolve trusted host name <*>,1
gmetad startup succeeded,1
Server listening on :: port <*>,1
error: Bind to port <*> on <*> failed: Address already in use.,1
Cannot open file <*> for writing (No such file or directory),1
Changing permissions on special file <*> terminating,1
xinetd <*> startup succeeded,1
Started working: <*> available service,1
removing ftp,1
kshell <*> removing,1
removing ntalk,1
removing printer,1
removing rsync,1
removing telnet,1
xinetd Version <*> started with libwrap loadavg options compiled in,1
"Device: <*>, Temperature changed <*> Celsius to <*> Celsius since last report",1
