input,groundtruth,prediction
generating core.5570,generating core.<*>,The template is 'generating core.5570'</s>
generating core.8275,generating core.<*>,The template is 'generating core.8275'</s>
generating core.4183,generating core.<*>,The template is 'generating core.4183'</s>
generating core.6545,generating core.<*>,The template is 'generating core.6545'</s>
generating core.4245,generating core.<*>,The template is 'generating core.4245'</s>
generating core.6884,generating core.<*>,The template is 'generating core.6884'</s>
force load/store alignment...............0,force load/store alignment...............<*>,The template is 'force load/store alignment...............0'</s>
generating core.6471,generating core.<*>,The template is 'generating core.6471'</s>
generating core.4155,generating core.<*>,The template is 'generating core.4155'</s>
generating core.449,generating core.<*>,The template is 'generating core.449'</s>
generating core.6990,generating core.<*>,The template is 'generating core.6990'</s>
generating core.4876,generating core.<*>,The template is 'generating core.4876'</s>
generating core.2218,generating core.<*>,The template is 'generating core.2218'</s>
generating core.7518,generating core.<*>,The template is 'generating core.7518'</s>
generating core.5854,generating core.<*>,The template is 'generating core.5854'</s>
generating core.7457,generating core.<*>,The template is 'generating core.7457'</s>
generating core.6896,generating core.<*>,The template is 'generating core.6896'</s>
generating core.3488,generating core.<*>,The template is 'generating core.3488'</s>
generating core.1172,generating core.<*>,The template is 'generating core. <*>'.</s>
generating core.2286,generating core.<*>,The template is 'generating core.2286'</s>
generating core.786,generating core.<*>,The template is 'generating core.786'</s>
generating core.2680,generating core.<*>,The template is 'generating core.2680'</s>
generating core.1524,generating core.<*>,The template is 'generating core.1524'</s>
generating core.4937,generating core.<*>,The template is 'generating core.4937'</s>
generating core.6801,generating core.<*>,The template is 'generating core.6801'</s>
generating core.4368,generating core.<*>,The template is 'generating core.4368'</s>
generating core.851,generating core.<*>,The template is 'generating core.851'</s>
generating core.1744,generating core.<*>,The template is 'generating core. <*>'.</s>
generating core.1588,generating core.<*>,The template is 'generating core.1588'</s>
generating core.5307,generating core.<*>,The template is 'generating core.5307'</s>
generating core.7192,generating core.<*>,The template is 'generating core.7192'</s>
"CE sym 20, at 0x01228120, mask 0x10","CE sym <*>, at <*>, mask <*>",The template is 'CE sym <*> at <*> mask <*>'.</s>
"CE sym 5, at 0x11042a80, mask 0x04","CE sym <*>, at <*>, mask <*>",The template is 'CE sym <*> at <*> mask <*>'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
generating core.430,generating core.<*>,The template is 'generating core.430'</s>
generating core.174,generating core.<*>,The template is 'generating core.174'</s>
ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,The template is 'ciod: <*> at treeaddr <*> sent unrecognized message <*>'.</s>
generating core.976,generating core.<*>,The template is 'generating core.976'</s>
generating core.1990,generating core.<*>,The template is 'generating core.1990'</s>
generating core.3638,generating core.<*>,The template is 'generating core.3638'</s>
generating core.2690,generating core.<*>,The template is 'generating core.2690'</s>
generating core.3804,generating core.<*>,The template is 'generating core.3804'</s>
generating core.418,generating core.<*>,The template is 'generating core.418'</s>
generating core.310,generating core.<*>,The template is 'generating core.310'</s>
generating core.2409,generating core.<*>,The template is 'generating core.2409'</s>
generating core.4182,generating core.<*>,The template is 'generating core.4182'</s>
generating core.8153,generating core.<*>,The template is 'generating core.8153'</s>
generating core.7836,generating core.<*>,The template is 'generating core.7836'</s>
generating core.2911,generating core.<*>,The template is 'generating core.2911'</s>
generating core.2921,generating core.<*>,The template is 'generating core.2921'</s>
generating core.122,generating core.<*>,The template is 'generating core.122'</s>
generating core.1973,generating core.<*>,The template is 'generating core. <*>'.</s>
ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,ciod: LOGIN chdir(<*>) failed: No such file or directory,The template is 'ciod: <*> chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory'</s>
generating core.4984,generating core.<*>,The template is 'generating core.4984'</s>
generating core.1822,generating core.<*>,The template is 'generating core. <*>'.</s>
"CE sym 28, at 0x110067e0, mask 0x02","CE sym <*>, at <*>, mask <*>",The template is 'CE sym <*> at <*> mask <*>'.</s>
"1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1","<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>","The template is 'DDR errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>'.</s>"
"CE sym 14, at 0x06047860, mask 0x20","CE sym <*>, at <*>, mask <*>",The template is 'CE sym <*> at <*> mask <*>'.</s>
generating core.3265,generating core.<*>,The template is 'generating core.3265'</s>
generating core.2599,generating core.<*>,The template is 'generating core.2599'</s>
generating core.1818,generating core.<*>,The template is 'generating core. <*>'.</s>
generating core.1694,generating core.<*>,The template is 'generating core.1694'</s>
generating core.3401,generating core.<*>,The template is 'generating core.3401'</s>
generating core.25350,generating core.<*>,The template is 'generating core.25350'</s>
generating core.1820,generating core.<*>,The template is 'generating core. <*>'.</s>
"CE sym 2, at 0x1b85f080, mask 0x02","CE sym <*>, at <*>, mask <*>",The template is 'CE sym <*> at <*> mask <*>'.</s>
generating core.254,generating core.<*>,The template is 'generating core.254'</s>
generating core.1887,generating core.<*>,The template is 'generating core. <*>'.</s>
"CE sym 2, at 0x1b85fe80, mask 0x02","CE sym <*>, at <*>, mask <*>",The template is 'CE sym <*> at <*> mask <*>'.</s>
generating core.8280,generating core.<*>,The template is 'generating core.8280'</s>
generating core.12357,generating core.<*>,The template is 'generating core. <*>'.</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
data TLB error interrupt,data TLB error interrupt,The template is 'data TLB error interrupt'</s>
"CE sym 10, at 0x08d10580, mask 0x08","CE sym <*>, at <*>, mask <*>",The template is 'CE sym <*> at <*> mask <*>'.</s>
ciod: Message code 0 is not 51 or 4294967295,ciod: Message code <*> is not <*> or <*>,The template is 'ciod: Message code <*> is not <*> or <*>'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
generating core.2522,generating core.<*>,The template is 'generating core.2522'</s>
generating core.1711,generating core.<*>,The template is 'generating core. <*>'.</s>
generating core.2332,generating core.<*>,The template is 'generating core.2332'</s>
generating core.4505,generating core.<*>,The template is 'generating core.4505'</s>
generating core.1521,generating core.<*>,The template is 'generating core.1521'</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
data address: 0x00000002,data address: <*>,The template is 'data address: <*>'.</s>
data address: 0x00000002,data address: <*>,The template is 'data address: <*>'.</s>
machine check: i-fetch......................0,machine check: i-fetch......................<*>,The template is 'machine check: <*> fetch......................0'</s>
machine check: i-fetch......................0,machine check: i-fetch......................<*>,The template is 'machine check: <*> fetch......................0'</s>
program interrupt: illegal instruction......0,program interrupt: illegal instruction......<*>,The template is 'program interrupt: <*> illegal instruction......<*>'</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data address: 0x00000002,data address: <*>,The template is 'data address: <*>'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data address: 0x00000002,data address: <*>,The template is 'data address: <*>'.</s>
data address: 0x00000002,data address: <*>,The template is 'data address: <*>'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data address: 0x00000002,data address: <*>,The template is 'data address: <*>'.</s>
machine check: i-fetch......................0,machine check: i-fetch......................<*>,The template is 'machine check: <*> fetch......................0'</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data storage interrupt,data storage interrupt,The template is 'data storage interrupt'.</s>
data address: 0x00000002,data address: <*>,The template is 'data address: <*>'.</s>
instruction address: 0x00004ed8,instruction address: <*>,The template is 'Instruction address: <*>'.</s>
exception syndrome register: 0x00800000,exception syndrome register: <*>,The template is 'exception syndrome register: <*>'.</s>
exception syndrome register: 0x00800000,exception syndrome register: <*>,The template is 'exception syndrome register: <*>'.</s>
exception syndrome register: 0x00800000,exception syndrome register: <*>,The template is 'exception syndrome register: <*>'.</s>
exception syndrome register: 0x00800000,exception syndrome register: <*>,The template is 'exception syndrome register: <*>'.</s>
program interrupt: illegal instruction......0,program interrupt: illegal instruction......<*>,The template is 'program interrupt: <*> illegal instruction......<*>'</s>
program interrupt: illegal instruction......0,program interrupt: illegal instruction......<*>,The template is 'program interrupt: <*> illegal instruction......<*>'</s>
data address: 0x00000002,data address: <*>,The template is 'data address: <*>'.</s>
exception syndrome register: 0x00800000,exception syndrome register: <*>,The template is 'exception syndrome register: <*>'.</s>
machine check: i-fetch......................0,machine check: i-fetch......................<*>,The template is 'machine check: <*> fetch......................0'</s>
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,The template is 'data store interrupt caused by <*> dcbf.........0'.</s>
machine check: i-fetch......................0,machine check: i-fetch......................<*>,The template is 'machine check: <*> fetch......................0'</s>
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,The template is 'data store interrupt caused by <*> dcbf.........0'.</s>
program interrupt: illegal instruction......0,program interrupt: illegal instruction......<*>,The template is 'program interrupt: <*> illegal instruction......<*>'</s>
program interrupt: illegal instruction......0,program interrupt: illegal instruction......<*>,The template is 'program interrupt: <*> illegal instruction......<*>'</s>
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>,The template is 'program interrupt: privileged instruction...<*>'.</s>
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>,The template is 'program interrupt: privileged instruction...<*>'.</s>
program interrupt: trap instruction.........0,program interrupt: trap instruction.........<*>,The template is 'program interrupt: trap instruction.........0'</s>
program interrupt: imprecise exception......0,program interrupt: imprecise exception......<*>,The template is 'program interrupt: <*> imprecise exception......0'</s>
store operation.............................1,store operation.............................<*>,The template is 'store operation.............................1'</s>
store operation.............................1,store operation.............................<*>,The template is 'store operation.............................1'</s>
machine state register: 0x00002000,machine state register: <*>,The template is 'machine state register: <*>'.</s>
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,The template is 'data store interrupt caused by icbi.........0'</s>
"problem state (0=sup,1=usr).......0","problem state (<*>=sup,<*>=usr).......<*>","The template is 'problem state (0=sup,1=usr).......0'</s>"
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,The template is 'data store interrupt caused by icbi.........0'</s>
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,The template is 'data store interrupt caused by icbi.........0'</s>
floating point instr. enabled.....1,floating point instr. enabled.....<*>,The template is 'floating point instr. enabled.....<*>'.</s>
floating point instr. enabled.....1,floating point instr. enabled.....<*>,The template is 'floating point instr. enabled.....<*>'.</s>
floating point instr. enabled.....1,floating point instr. enabled.....<*>,The template is 'floating point instr. enabled.....<*>'.</s>
auxiliary processor.........................0,auxiliary processor.........................<*>,The template is 'auxiliary processor.........................0'</s>
machine check enable..............0,machine check enable..............<*>,The template is 'machine check enable..............0'</s>
machine check enable..............0,machine check enable..............<*>,The template is 'machine check enable..............0'</s>
floating pt ex mode 0 enable......0,floating pt ex mode <*> enable......<*>,The template is 'floating <*> ex mode <*> enable......<*>'</s>
program interrupt: unimplemented operation..0,program interrupt: unimplemented operation..<*>,The template is 'program interrupt: <*> unimplemented operation..<*>'</s>
debug interrupt enable............0,debug interrupt enable............<*>,The template is 'debug interrupt enable............0'</s>
floating pt ex mode 1 enable......0,floating pt ex mode <*> enable......<*>,The template is 'floating <*> ex mode <*> enable......0'</s>
byte ordering exception.....................0,byte ordering exception.....................<*>,The template is 'byte ordering exception.....................0'</s>
byte ordering exception.....................0,byte ordering exception.....................<*>,The template is 'byte ordering exception.....................0'</s>
data address space................0,data address space................<*>,The template is 'data address space................0'</s>
data address space................0,data address space................<*>,The template is 'data address space................0'</s>
program interrupt: imprecise exception......0,program interrupt: imprecise exception......<*>,The template is 'program interrupt: <*> imprecise exception......0'</s>
core configuration register: 0x00002000,core configuration register: <*>,The template is 'core configuration register: <*>'.</s>
program interrupt: imprecise exception......0,program interrupt: imprecise exception......<*>,The template is 'program interrupt: <*> imprecise exception......0'</s>
program interrupt: fp cr update.............0,program interrupt: fp cr update.............<*>,The template is 'program interrupt: <*> cr update.............0'</s>
guaranteed instruction cache block touch.0,guaranteed instruction cache block touch.<*>,The template is 'guaranteed instruction cache block touch.0'</s>
guaranteed instruction cache block touch.0,guaranteed instruction cache block touch.<*>,The template is 'guaranteed instruction cache block touch.0'</s>
program interrupt: fp cr field .............0,program interrupt: fp cr field .............<*>,The template is 'program interrupt: <*> cr field <*> .............0'</s>
program interrupt: fp cr field .............0,program interrupt: fp cr field .............<*>,The template is 'program interrupt: <*> cr field <*> .............0'</s>
program interrupt: fp cr field .............0,program interrupt: fp cr field .............<*>,The template is 'program interrupt: <*> cr field <*> .............0'</s>
guaranteed data cache block touch........1,guaranteed data cache block touch........<*>,The template is 'guaranteed data cache block touch........1'</s>
program interrupt: fp cr field .............0,program interrupt: fp cr field .............<*>,The template is 'program interrupt: <*> cr field <*> .............0'</s>
force load/store alignment...............0,force load/store alignment...............<*>,The template is 'force load/store alignment...............0'</s>
icache prefetch depth....................0,icache prefetch depth....................<*>,The template is 'icache prefetch depth....................0'</s>
machine state register: 0x00002000,machine state register: <*>,The template is 'machine state register: <*>'.</s>
machine state register: 0x00002000,machine state register: <*>,The template is 'machine state register: <*>'.</s>
icache prefetch threshold................0,icache prefetch threshold................<*>,The template is 'icache prefetch threshold................<*>'.</s>
icache prefetch threshold................0,icache prefetch threshold................<*>,The template is 'icache prefetch threshold................<*>'.</s>
machine state register: 0x00002000,machine state register: <*>,The template is 'machine state register: <*>'.</s>
wait state enable.................0,wait state enable.................<*>,The template is 'wait state enable.................0'</s>
critical input interrupt enable...0,critical input interrupt enable...<*>,The template is 'critical input interrupt enable...<*>'.</s>
"problem state (0=sup,1=usr).......0","problem state (<*>=sup,<*>=usr).......<*>","The template is 'problem state (0=sup,1=usr).......0'</s>"
"problem state (0=sup,1=usr).......0","problem state (<*>=sup,<*>=usr).......<*>","The template is 'problem state (0=sup,1=usr).......0'</s>"
floating point instr. enabled.....1,floating point instr. enabled.....<*>,The template is 'floating point instr. enabled.....<*>'.</s>
special purpose registers:,special purpose registers:,The template is 'special purpose registers: <*>'.</s>
lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000,lr:<*> cr:<*> xer:<*> ctr:<*>,The template is 'lr:<*> cr:<*> xer:<*> ctr:<*>'.</s>
rts internal error,rts internal error,The template is 'rts internal error'.</s>
floating pt ex mode 0 enable......0,floating pt ex mode <*> enable......<*>,The template is 'floating <*> ex mode <*> enable......<*>'</s>
floating pt ex mode 0 enable......0,floating pt ex mode <*> enable......<*>,The template is 'floating <*> ex mode <*> enable......<*>'</s>
debug wait enable.................0,debug wait enable.................<*>,The template is 'debug wait enable.................0'</s>
floating pt ex mode 1 enable......0,floating pt ex mode <*> enable......<*>,The template is 'floating <*> ex mode <*> enable......0'</s>
instruction address space.........0,instruction address space.........<*>,The template is 'instruction address space.........0'</s>
data address space................0,data address space................<*>,The template is 'data address space................0'</s>
data address space................0,data address space................<*>,The template is 'data address space................0'</s>
data address space................0,data address space................<*>,The template is 'data address space................0'</s>
core configuration register: 0x00002000,core configuration register: <*>,The template is 'core configuration register: <*>'.</s>
core configuration register: 0x00002000,core configuration register: <*>,The template is 'core configuration register: <*>'.</s>
core configuration register: 0x00002000,core configuration register: <*>,The template is 'core configuration register: <*>'.</s>
core configuration register: 0x00002000,core configuration register: <*>,The template is 'core configuration register: <*>'.</s>
core configuration register: 0x00002000,core configuration register: <*>,The template is 'core configuration register: <*>'.</s>
core configuration register: 0x00002000,core configuration register: <*>,The template is 'core configuration register: <*>'.</s>
disable store gathering..................0,disable store gathering..................<*>,The template is 'disable store gathering..................0'</s>
disable store gathering..................0,disable store gathering..................<*>,The template is 'disable store gathering..................0'</s>
disable store gathering..................0,disable store gathering..................<*>,The template is 'disable store gathering..................0'</s>
generating core.42,generating core.<*>,The template is 'generating core.42'</s>
total of 1 ddr error(s) detected and corrected,total of <*> ddr error(s) detected and corrected,The template is 'total of <*> ddr error(s) detected and corrected'.</s>
generating core.145,generating core.<*>,The template is 'generating core.145'</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
generating core.1978,generating core.<*>,The template is 'generating core. <*>'.</s>
generating core.2040,generating core.<*>,The template is 'generating core.2040'</s>
generating core.15,generating core.<*>,The template is 'generating core.15'</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
