LineId,Time,Component,Pid,Content,EventTemplate,EventId
18,20171223-22:15:29:959,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126797,calculateCaloriesWithCache totalCalories=<*>,234
19,20171223-22:15:29:962,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
20,20171223-22:15:29:962,Step_StandReportReceiver,30002312,REPORT : 7008 5003 150111 240,REPORT : <*> <*> <*> <*>,237
21,20171223-22:15:30:331,Step_LSC,30002312,onStandStepChanged 3581,onStandStepChanged <*> 3581,556
22,20171223-22:15:30:335,Step_LSC,30002312,onExtend:1514038531000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
23,20171223-22:15:30:632,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,getTodayTotalDetailSteps = <*>##7008##548365##8661##12456##27174269,374
24,20171223-22:15:30:632,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,setTodayTotalDetailSteps=<*>##7009##548365##8661##12551##27174951,135
25,20171223-22:15:30:639,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126818,calculateCaloriesWithCache totalCalories=<*>,234
26,20171223-22:15:30:641,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
27,20171223-22:15:30:642,Step_StandReportReceiver,30002312,REPORT : 7009 5004 150132 240,REPORT : <*> <*> <*> <*>,237
28,20171223-22:15:30:841,Step_LSC,30002312,onStandStepChanged 3583,onStandStepChanged <*> 3583,608
29,20171223-22:15:30:858,Step_LSC,30002312,onExtend:1514038531000 2 0 4,onExtend: <*> 2 <*> 0 <*> 4,38
30,20171223-22:15:31:142,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,getTodayTotalDetailSteps = <*>##7009##548365##8661##12551##27174951,624
31,20171223-22:15:31:143,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,setTodayTotalDetailSteps=<*>##7011##548365##8661##12646##27175461,176
32,20171223-22:15:31:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126861,calculateCaloriesWithCache totalCalories=<*>,234
33,20171223-22:15:31:160,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
34,20171223-22:15:31:160,Step_StandReportReceiver,30002312,REPORT : 7011 5005 150175 240,REPORT : <*> <*> <*> <*>,237
35,20171223-22:15:31:841,Step_LSC,30002312,onStandStepChanged 3584,onStandStepChanged <*> 3584,466
36,20171223-22:15:31:862,Step_LSC,30002312,onExtend:1514038532000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
37,20171223-22:15:32:145,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,getTodayTotalDetailSteps = <*>##7011##548365##8661##12646##27175461,170
38,20171223-22:15:32:147,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,setTodayTotalDetailSteps=<*>##7012##548365##8661##12741##27176464,525
39,20171223-22:15:32:156,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126882,calculateCaloriesWithCache totalCalories=<*>,234
40,20171223-22:15:32:162,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
41,20171223-22:15:32:163,Step_StandReportReceiver,30002312,REPORT : 7012 5006 150197 240,REPORT : <*> <*> <*> <*>,237
42,20171223-22:15:32:340,Step_LSC,30002312,onStandStepChanged 3585,onStandStepChanged <*> 3585,123
43,20171223-22:15:32:354,Step_LSC,30002312,onExtend:1514038533000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
44,20171223-22:15:32:647,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,getTodayTotalDetailSteps = <*>##7012##548365##8661##12741##27176464,168
45,20171223-22:15:32:648,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,setTodayTotalDetailSteps=<*>##7013##548365##8661##12836##27176966,226
46,20171223-22:15:32:656,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126904,calculateCaloriesWithCache totalCalories=<*>,234
47,20171223-22:15:32:658,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
48,20171223-22:15:32:659,Step_StandReportReceiver,30002312,REPORT : 7013 5007 150218 240,REPORT : <*> <*> <*> <*>,237
49,20171223-22:15:32:840,Step_LSC,30002312,onStandStepChanged 3586,onStandStepChanged <*> 3586,46
50,20171223-22:15:32:846,Step_LSC,30002312,onExtend:1514038533000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
51,20171223-22:15:33:144,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,getTodayTotalDetailSteps = <*>##7013##548365##8661##12836##27176966,653
52,20171223-22:15:33:144,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,setTodayTotalDetailSteps=<*>##7014##548365##8661##12931##27177463,128
53,20171223-22:15:33:148,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126925,calculateCaloriesWithCache totalCalories=<*>,234
54,20171223-22:15:33:149,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
55,20171223-22:15:33:149,Step_StandReportReceiver,30002312,REPORT : 7014 5007 150239 240,REPORT : <*> <*> <*> <*>,237
56,20171223-22:15:33:341,Step_LSC,30002312,onStandStepChanged 3587,onStandStepChanged <*> 3587,427
57,20171223-22:15:33:370,Step_LSC,30002312,onExtend:1514038534000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
58,20171223-22:15:33:643,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,getTodayTotalDetailSteps = <*>##7014##548365##8661##12931##27177463,10
59,20171223-22:15:33:644,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,setTodayTotalDetailSteps=<*>##7015##548365##8661##13026##27177962,558
60,20171223-22:15:33:658,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126947,calculateCaloriesWithCache totalCalories=<*>,234
61,20171223-22:15:33:662,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
62,20171223-22:15:33:663,Step_StandReportReceiver,30002312,REPORT : 7015 5008 150261 240,REPORT : <*> <*> <*> <*>,237
63,20171223-22:15:34:711,Step_LSC,30002312,onStandStepChanged 3588,onStandStepChanged <*> 3588,648
64,20171223-22:15:34:723,Step_LSC,30002312,onExtend:1514038535000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
65,20171223-22:15:34:723,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_OFF,onReceive action: <*>,372
66,20171223-22:15:34:848,Step_LSC,30002312,onStandStepChanged 3589,onStandStepChanged <*> 3589,417
67,20171223-22:15:34:851,Step_LSC,30002312,onExtend:1514038535000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
68,20171223-22:15:35:11,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,getTodayTotalDetailSteps = <*>##7015##548365##8661##13026##27177962,321
69,20171223-22:15:35:12,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,setTodayTotalDetailSteps=<*>##7017##548365##8661##13121##27179330,85
70,20171223-22:15:35:20,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,calculateCaloriesWithCache totalCalories=<*>,234
71,20171223-22:15:35:22,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
72,20171223-22:15:35:23,Step_ScreenUtil,30002312,isScreenOn true,isScreenOn true,621
73,20171223-22:15:35:23,Step_StandReportReceiver,30002312,"screen status unknown,think screen on","screen status unknown,think screen on",12
74,20171223-22:15:35:23,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,REPORT : <*> <*> <*> <*>,237
75,20171223-22:15:35:96,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,onReceive action: <*>,372
76,20171223-22:15:35:97,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,action:<*>,603
77,20171223-22:15:35:97,Step_StandStepCounter,30002312,flush sensor data,flush sensor data,65
78,20171223-22:15:35:98,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,getTodayTotalDetailSteps = <*>##7017##548365##8661##13121##27179330,577
79,20171223-22:15:35:98,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,setTodayTotalDetailSteps=<*>##7017##548365##8661##13216##27179417,173
80,20171223-22:15:35:98,Step_LSC,30002312,onStandStepChanged 3589,onStandStepChanged <*> 3589,417
81,20171223-22:15:35:104,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126989,calculateCaloriesWithCache totalCalories=<*>,234
82,20171223-22:15:35:112,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
83,20171223-22:15:35:112,Step_StandReportReceiver,30002312,REPORT : 7017 5010 150304 240,REPORT : <*> <*> <*> <*>,237
84,20171223-22:15:35:198,Step_LSC,30002312,onStandStepChanged 3589,onStandStepChanged <*> 3589,417
85,20171223-22:15:35:201,Step_LSC,30002312,onExtend:1514038536000 0 0 4,onExtend: <*> 0 <*> 0 <*> 4,0
86,20171223-22:15:35:348,Step_LSC,30002312,onStandStepChanged 3590,onStandStepChanged <*> 3590,565
87,20171223-22:15:35:352,Step_LSC,30002312,onExtend:1514038536000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
88,20171223-22:15:35:413,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,getTodayTotalDetailSteps = <*>##7017##548365##8661##13216##27179417,453
89,20171223-22:15:35:413,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,setTodayTotalDetailSteps=<*>##7018##548365##8661##13311##27179732,659
90,20171223-22:15:35:418,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127011,calculateCaloriesWithCache totalCalories=<*>,234
91,20171223-22:15:35:421,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
92,20171223-22:15:35:421,Step_StandReportReceiver,30002312,REPORT : 7018 5010 150325 240,REPORT : <*> <*> <*> <*>,237
93,20171223-22:15:35:848,Step_LSC,30002312,onStandStepChanged 3591,onStandStepChanged <*> 3591,29
94,20171223-22:15:35:852,Step_LSC,30002312,onExtend:1514038536000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
95,20171223-22:15:36:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,getTodayTotalDetailSteps = <*>##7018##548365##8661##13311##27179732,354
96,20171223-22:15:36:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,setTodayTotalDetailSteps=<*>##7019##548365##8661##13406##27180468,52
97,20171223-22:15:36:154,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127032,calculateCaloriesWithCache totalCalories=<*>,234
98,20171223-22:15:36:157,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
99,20171223-22:15:36:157,Step_StandReportReceiver,30002312,REPORT : 7019 5011 150346 240,REPORT : <*> <*> <*> <*>,237
100,20171223-22:15:36:356,Step_LSC,30002312,onStandStepChanged 3592,onStandStepChanged <*> 3592,318
101,20171223-22:15:36:365,Step_LSC,30002312,onExtend:1514038537000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
102,20171223-22:15:36:657,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,getTodayTotalDetailSteps = <*>##7019##548365##8661##13406##27180468,491
103,20171223-22:15:36:657,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,setTodayTotalDetailSteps=<*>##7020##548365##8661##13501##27180976,56
104,20171223-22:15:36:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127054,calculateCaloriesWithCache totalCalories=<*>,234
105,20171223-22:15:36:672,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
106,20171223-22:15:36:673,Step_StandReportReceiver,30002312,REPORT : 7020 5012 150368 240,REPORT : <*> <*> <*> <*>,237
107,20171223-22:15:37:351,Step_LSC,30002312,onStandStepChanged 3593,onStandStepChanged <*> 3593,475
108,20171223-22:15:37:361,Step_LSC,30002312,onExtend:1514038538000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
109,20171223-22:15:37:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7020##548365##8661##13501##27180976,getTodayTotalDetailSteps = <*>##7020##548365##8661##13501##27180976,488
110,20171223-22:15:37:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,setTodayTotalDetailSteps=<*>##7021##548365##8661##13596##27181971,511
111,20171223-22:15:37:666,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127075,calculateCaloriesWithCache totalCalories=<*>,234
112,20171223-22:15:37:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
113,20171223-22:15:37:671,Step_StandReportReceiver,30002312,REPORT : 7021 5012 150389 240,REPORT : <*> <*> <*> <*>,237
114,20171223-22:15:37:848,Step_LSC,30002312,onStandStepChanged 3594,onStandStepChanged <*> 3594,189
115,20171223-22:15:37:858,Step_LSC,30002312,onExtend:1514038538000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
116,20171223-22:15:38:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7021##548365##8661##13596##27181971,getTodayTotalDetailSteps = <*>##7021##548365##8661##13596##27181971,294
117,20171223-22:15:38:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,setTodayTotalDetailSteps=<*>##7022##548365##8661##13691##27182468,458
118,20171223-22:15:38:159,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127097,calculateCaloriesWithCache totalCalories=<*>,234
119,20171223-22:15:38:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
120,20171223-22:15:38:164,Step_StandReportReceiver,30002312,REPORT : 7022 5013 150411 240,REPORT : <*> <*> <*> <*>,237
121,20171223-22:15:38:349,Step_LSC,30002312,onStandStepChanged 3595,onStandStepChanged <*> 3595,297
122,20171223-22:15:38:361,Step_LSC,30002312,onExtend:1514038539000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
123,20171223-22:15:38:653,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468,getTodayTotalDetailSteps = <*>##7022##548365##8661##13691##27182468,395
124,20171223-22:15:38:654,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,setTodayTotalDetailSteps=<*>##7023##548365##8661##13786##27182973,84
125,20171223-22:15:38:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127118,calculateCaloriesWithCache totalCalories=<*>,234
126,20171223-22:15:38:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
127,20171223-22:15:38:669,Step_StandReportReceiver,30002312,REPORT : 7023 5014 150432 240,REPORT : <*> <*> <*> <*>,237
128,20171223-22:15:38:850,Step_LSC,30002312,onStandStepChanged 3596,onStandStepChanged <*> 3596,439
129,20171223-22:15:38:868,Step_LSC,30002312,onExtend:1514038539000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
130,20171223-22:15:39:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7023##548365##8661##13786##27182973,getTodayTotalDetailSteps = <*>##7023##548365##8661##13786##27182973,228
131,20171223-22:15:39:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,setTodayTotalDetailSteps=<*>##7024##548365##8661##13881##27183469,482
132,20171223-22:15:39:155,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127139,calculateCaloriesWithCache totalCalories=<*>,234
133,20171223-22:15:39:156,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
134,20171223-22:15:39:156,Step_StandReportReceiver,30002312,REPORT : 7024 5015 150454 240,REPORT : <*> <*> <*> <*>,237
135,20171223-22:15:39:348,Step_LSC,30002312,onStandStepChanged 3597,onStandStepChanged <*> 3597,350
136,20171223-22:15:39:354,Step_LSC,30002312,onExtend:1514038540000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
137,20171223-22:15:39:655,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7024##548365##8661##13881##27183469,getTodayTotalDetailSteps = <*>##7024##548365##8661##13881##27183469,175
138,20171223-22:15:39:656,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,setTodayTotalDetailSteps=<*>##7025##548365##8661##13976##27183974,174
139,20171223-22:15:39:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127161,calculateCaloriesWithCache totalCalories=<*>,234
140,20171223-22:15:39:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
141,20171223-22:15:39:669,Step_StandReportReceiver,30002312,REPORT : 7025 5015 150475 240,REPORT : <*> <*> <*> <*>,237
142,20171223-22:15:40:349,Step_LSC,30002312,onStandStepChanged 3598,onStandStepChanged <*> 3598,660
143,20171223-22:15:40:365,Step_LSC,30002312,onExtend:1514038541000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
144,20171223-22:15:40:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7025##548365##8661##13976##27183974,getTodayTotalDetailSteps = <*>##7025##548365##8661##13976##27183974,244
145,20171223-22:15:40:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,setTodayTotalDetailSteps=<*>##7026##548365##8661##14071##27184972,322
146,20171223-22:15:40:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127182,calculateCaloriesWithCache totalCalories=<*>,234
147,20171223-22:15:40:675,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
148,20171223-22:15:40:676,Step_StandReportReceiver,30002312,REPORT : 7026 5016 150496 240,REPORT : <*> <*> <*> <*>,237
149,20171223-22:15:40:848,Step_LSC,30002312,onStandStepChanged 3599,onStandStepChanged <*> 3599,416
150,20171223-22:15:40:852,Step_LSC,30002312,onExtend:1514038541000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
151,20171223-22:15:41:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7026##548365##8661##14071##27184972,getTodayTotalDetailSteps = <*>##7026##548365##8661##14071##27184972,45
152,20171223-22:15:41:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,setTodayTotalDetailSteps=<*>##7027##548365##8661##14166##27185467,389
153,20171223-22:15:41:152,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127204,calculateCaloriesWithCache totalCalories=<*>,234
154,20171223-22:15:41:153,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
155,20171223-22:15:41:153,Step_StandReportReceiver,30002312,REPORT : 7027 5017 150518 240,REPORT : <*> <*> <*> <*>,237
156,20171223-22:15:41:353,Step_LSC,30002312,onStandStepChanged 3600,onStandStepChanged <*> for block <*> terminating,470
157,20171223-22:15:41:358,Step_LSC,30002312,onExtend:1514038542000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
158,20171223-22:15:41:658,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7027##548365##8661##14166##27185467,getTodayTotalDetailSteps = <*>##7027##548365##8661##14166##27185467,524
159,20171223-22:15:41:658,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,setTodayTotalDetailSteps=<*>##7028##548365##8661##14261##27185977,341
160,20171223-22:15:41:667,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127225,calculateCaloriesWithCache totalCalories=<*>,234
161,20171223-22:15:41:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
162,20171223-22:15:41:672,Step_StandReportReceiver,30002312,REPORT : 7028 5017 150539 240,REPORT : <*> <*> <*> <*>,237
163,20171223-22:15:41:848,Step_LSC,30002312,onStandStepChanged 3601,onStandStepChanged <*> 3601,559
164,20171223-22:15:41:856,Step_LSC,30002312,onExtend:1514038542000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
165,20171223-22:15:42:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7028##548365##8661##14261##27185977,getTodayTotalDetailSteps = <*>##7028##548365##8661##14261##27185977,205
166,20171223-22:15:42:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,setTodayTotalDetailSteps=<*>##7029##548365##8661##14356##27186469,554
167,20171223-22:15:42:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127246,calculateCaloriesWithCache totalCalories=<*>,234
168,20171223-22:15:42:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
169,20171223-22:15:42:165,Step_StandReportReceiver,30002312,REPORT : 7029 5018 150561 240,REPORT : <*> <*> <*> <*>,237
170,20171223-22:15:42:848,Step_LSC,30002312,onStandStepChanged 3602,onStandStepChanged <*> 3602,74
171,20171223-22:15:42:852,Step_LSC,30002312,onExtend:1514038543000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
172,20171223-22:15:43:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7029##548365##8661##14356##27186469,getTodayTotalDetailSteps = <*>##7029##548365##8661##14356##27186469,26
173,20171223-22:15:43:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,setTodayTotalDetailSteps=<*>##7030##548365##8661##14451##27187468,344
174,20171223-22:15:43:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127268,calculateCaloriesWithCache totalCalories=<*>,234
175,20171223-22:15:43:163,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
176,20171223-22:15:43:164,Step_StandReportReceiver,30002312,REPORT : 7030 5019 150582 240,REPORT : <*> <*> <*> <*>,237
177,20171223-22:15:43:348,Step_LSC,30002312,onStandStepChanged 3603,onStandStepChanged <*> 3603,5
178,20171223-22:15:43:354,Step_LSC,30002312,onExtend:1514038544000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
179,20171223-22:15:43:649,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7030##548365##8661##14451##27187468,getTodayTotalDetailSteps = <*>##7030##548365##8661##14451##27187468,49
180,20171223-22:15:43:650,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,setTodayTotalDetailSteps=<*>##7031##548365##8661##14546##27187968,476
181,20171223-22:15:43:677,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127289,calculateCaloriesWithCache totalCalories=<*>,234
182,20171223-22:15:43:679,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
183,20171223-22:15:43:679,Step_StandReportReceiver,30002312,REPORT : 7031 5020 150604 240,REPORT : <*> <*> <*> <*>,237
184,20171223-22:15:43:850,Step_LSC,30002312,onStandStepChanged 3604,onStandStepChanged <*> 3604,235
185,20171223-22:15:43:861,Step_LSC,30002312,onExtend:1514038544000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
186,20171223-22:15:44:152,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7031##548365##8661##14546##27187968,getTodayTotalDetailSteps = <*>##7031##548365##8661##14546##27187968,507
